,Query ID,Target ID,Affinity Threshold (nM),P-Value,Max Tc,Cut Sum,Z-Score,Name,Description,Query Smiles
0,compound_1,A4_HUMAN,5,3.1059999999999997e-26,0.5143,14.0235,45.3445,APP,Amyloid-beta A4 protein,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
1,compound_1,ABCG2_HUMAN,5,4.603e-23,0.4211,9.7666,39.6519,ABCG2,ATP-binding cassette sub-family G member 2,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
2,compound_1,AGAL_HUMAN,5,2.28e-08,0.3,0.3,13.2697,GLA,Alpha-galactosidase A,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
4,compound_1,AK1BA_HUMAN,5,8.587000000000001e-26,1.0,3.2522,44.5517,AKR1B10,Aldo-keto reductase family 1 member B10,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
5,compound_1,AK1C4_HUMAN,5,2.924e-12,0.3111,0.3111,20.2571,AKR1C4,Aldo-keto reductase family 1 member C4,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
6,compound_1,ALDR_HUMAN,5,6.682000000000001e-12,1.0,6.742000000000001,19.6128,AKR1B1,Aldose reductase,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
8,compound_1,AMD_HUMAN,5,1.067e-21,0.3333,0.6389,37.2013,PAM,Peptidyl-glycine alpha-amidating monooxygenase,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
9,compound_1,AOFA_HUMAN,5,1.9190000000000003e-10,0.6875,7.9694,16.995,MAOA,Amine oxidase [flavin-containing] A,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
10,compound_1,AOFB_HUMAN,5,3.928e-20,0.6875,20.6111,34.3896,MAOB,Amine oxidase [flavin-containing] B,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
11,compound_1,BACE1_HUMAN,5,1.811e-22,1.0,53.2453,38.5839,BACE1,Beta-secretase 1,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
12,compound_1,CAH13_HUMAN,5,7.371e-06,0.5143,0.9786,8.7643,CA13,Carbonic anhydrase 13,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
