,Query ID,Target ID,Affinity Threshold (nM),P-Value,Max Tc,Cut Sum,Z-Score,Name,Description,Query Smiles
2,compound_1,A4_HUMAN,5,1.0219999999999999e-63,0.8857,34.2556,112.63799999999999,APP,Amyloid-beta A4 protein,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
3,compound_1,ABCG2_HUMAN,5,4.1479999999999995e-55,0.5319,23.5402,97.1833,ABCG2,ATP-binding cassette sub-family G member 2,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
5,compound_1,ACES_HUMAN,5,3.856e-06,0.4828,9.5342,9.2696,ACHE,Acetylcholinesterase,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
8,compound_1,ACPM_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFAB1,"Acyl carrier protein, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
12,compound_1,AK1BA_HUMAN,5,8.363999999999999e-44,0.6286,5.5823,76.8879,AKR1B10,Aldo-keto reductase family 1 member B10,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
13,compound_1,AK1C3_HUMAN,5,5.002e-31,0.4,9.6364,53.9496,AKR1C3,Aldo-keto reductase family 1 member C3,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
14,compound_1,AK1C4_HUMAN,5,5.34e-14,0.3585,0.3585,23.379,AKR1C4,Aldo-keto reductase family 1 member C4,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
16,compound_1,ALDR_HUMAN,5,1.3580000000000003e-12,0.6286,7.1415,20.8551,AKR1B1,Aldose reductase,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
18,compound_1,ALR_HUMAN,5,5.596e-19,0.4286,17.932000000000002,32.3183,GFER,FAD-linked sulfhydryl oxidase ALR,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
19,compound_1,AOFA_HUMAN,5,3.019e-13,0.8857,10.1279,22.0276,MAOA,Amine oxidase [flavin-containing] A,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
22,compound_1,AOFB_HUMAN,5,2.1590000000000002e-18,0.7045,18.8348,31.2657,MAOB,Amine oxidase [flavin-containing] B,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
23,compound_1,BACE1_HUMAN,5,1.7920000000000002e-23,0.8857,55.558,40.3873,BACE1,Beta-secretase 1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
24,compound_1,BRSK1_HUMAN,5,3.494e-06,0.42,1.7766,9.3465,BRSK1,Serine/threonine-protein kinase BRSK1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
28,compound_1,CAH13_HUMAN,5,7.683e-14,0.8857,2.4584,23.095,CA13,Carbonic anhydrase 13,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
30,compound_1,CAH12_HUMAN,5,3.3310000000000003e-16,0.8857,20.2199,27.2944,CA12,Carbonic anhydrase 12,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
31,compound_1,CAH14_HUMAN,5,1.0279999999999999e-22,0.6667,10.6312,39.0257,CA14,Carbonic anhydrase 14,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
32,compound_1,CAH3_HUMAN,5,1.4890000000000001e-18,0.4359,2.1277,31.5552,CA3,Carbonic anhydrase 3,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
33,compound_1,CAH1_HUMAN,5,1.108e-10,0.8857,19.4384,17.4232,CA1,Carbonic anhydrase 1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
34,compound_1,CAH4_HUMAN,5,4.643e-13,0.8857,5.1627,21.691999999999997,CA4,Carbonic anhydrase 4,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
35,compound_1,CAH2_HUMAN,5,1.3330000000000003e-08,0.8857,18.2762,13.6882,CA2,Carbonic anhydrase 2,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
36,compound_1,CAH5A_HUMAN,5,2.027e-23,0.6667,6.4797,40.2915,CA5A,"Carbonic anhydrase 5A, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
37,compound_1,CAH5B_HUMAN,5,4.912e-24,0.8857,6.0819,41.3966,CA5B,"Carbonic anhydrase 5B, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
38,compound_1,CAH6_HUMAN,5,3.6579999999999996e-31,0.8857,7.044,54.1935,CA6,Carbonic anhydrase 6,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
39,compound_1,CAH7_HUMAN,5,3.4489999999999997e-29,0.8857,13.8861,50.6488,CA7,Carbonic anhydrase 7,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
40,compound_1,CAH9_HUMAN,5,8.771e-15,0.8857,21.3395,24.7834,CA9,Carbonic anhydrase 9,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
42,compound_1,CH60_HUMAN,5,2.3369999999999997e-08,0.3208,0.3208,13.2508,HSPD1,"60 kDa heat shock protein, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
44,compound_1,CHLE_HUMAN,5,3.086e-13,0.4828,12.2736,22.0103,BCHE,Cholinesterase,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
45,compound_1,CIA30_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFAF1,"Complex I intermediate-associated protein 30, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
