,source,target,weight
0,ENSP00000001146,ENSP00000425497,653.0
1,ENSP00000001146,ENSP00000422607,435.0
2,ENSP00000001146,ENSP00000370023,429.0
3,ENSP00000001146,ENSP00000304845,653.0
4,ENSP00000001146,ENSP00000389241,506.0
5,ENSP00000001146,ENSP00000370648,312.0
6,ENSP00000001146,ENSP00000290167,360.0
7,ENSP00000001146,ENSP00000334592,312.0
8,ENSP00000001146,ENSP00000478561,616.0
9,ENSP00000001146,ENSP00000449079,431.0
10,ENSP00000001146,ENSP00000250124,443.0
11,ENSP00000001146,ENSP00000350314,334.0
12,ENSP00000001146,ENSP00000339883,335.0
13,ENSP00000001146,ENSP00000348380,535.0
14,ENSP00000001146,ENSP00000363817,309.0
15,ENSP00000001146,ENSP00000275016,342.0
16,ENSP00000001146,ENSP00000387683,653.0
17,ENSP00000001146,ENSP00000272427,597.0
18,ENSP00000001146,ENSP00000403042,362.0
19,ENSP00000001146,ENSP00000320604,365.0
20,ENSP00000001146,ENSP00000371711,524.0
21,ENSP00000001146,ENSP00000256319,322.0
22,ENSP00000001146,ENSP00000482546,316.0
23,ENSP00000001146,ENSP00000337915,925.0
24,ENSP00000001146,ENSP00000268053,341.0
25,ENSP00000001146,ENSP00000221496,449.0
26,ENSP00000001146,ENSP00000254521,338.0
27,ENSP00000001146,ENSP00000361302,319.0
28,ENSP00000001146,ENSP00000293502,484.0
29,ENSP00000001146,ENSP00000362525,653.0
30,ENSP00000001146,ENSP00000310721,365.0
31,ENSP00000001146,ENSP00000377721,301.0
32,ENSP00000001146,ENSP00000362799,406.0
33,ENSP00000001146,ENSP00000261835,382.0
34,ENSP00000001146,ENSP00000369251,313.0
35,ENSP00000001146,ENSP00000303174,655.0
36,ENSP00000001146,ENSP00000310551,331.0
37,ENSP00000001146,ENSP00000264027,310.0
38,ENSP00000001146,ENSP00000231572,786.0
39,ENSP00000001146,ENSP00000348429,418.0
40,ENSP00000001146,ENSP00000333188,689.0
41,ENSP00000001146,ENSP00000216024,304.0
42,ENSP00000001146,ENSP00000419692,342.0
43,ENSP00000001146,ENSP00000337224,587.0
44,ENSP00000001146,ENSP00000308032,930.0
45,ENSP00000001146,ENSP00000362513,653.0
46,ENSP00000001146,ENSP00000257895,383.0
47,ENSP00000001146,ENSP00000205214,334.0
48,ENSP00000001146,ENSP00000333534,319.0
49,ENSP00000001146,ENSP00000229633,354.0
50,ENSP00000001146,ENSP00000232219,517.0
51,ENSP00000001146,ENSP00000408860,312.0
52,ENSP00000001146,ENSP00000480828,339.0
53,ENSP00000001146,ENSP00000341992,431.0
54,ENSP00000001146,ENSP00000453793,318.0
55,ENSP00000001146,ENSP00000482841,647.0
56,ENSP00000001146,ENSP00000333813,443.0
57,ENSP00000001146,ENSP00000352900,300.0
58,ENSP00000001146,ENSP00000440847,390.0
59,ENSP00000001146,ENSP00000268206,331.0
60,ENSP00000001146,ENSP00000265896,447.0
61,ENSP00000001146,ENSP00000355385,334.0
62,ENSP00000001146,ENSP00000360918,365.0
63,ENSP00000001146,ENSP00000295802,389.0
64,ENSP00000001146,ENSP00000362508,653.0
65,ENSP00000001146,ENSP00000224356,826.0
66,ENSP00000001146,ENSP00000475028,653.0
67,ENSP00000001146,ENSP00000376658,539.0
68,ENSP00000001146,ENSP00000341045,653.0
69,ENSP00000001146,ENSP00000381206,394.0
70,ENSP00000001146,ENSP00000386881,389.0
71,ENSP00000001146,ENSP00000304811,693.0
72,ENSP00000001146,ENSP00000297258,347.0
73,ENSP00000001146,ENSP00000341662,310.0
74,ENSP00000001146,ENSP00000417063,347.0
75,ENSP00000001146,ENSP00000301141,922.0
76,ENSP00000001146,ENSP00000258415,360.0
77,ENSP00000001146,ENSP00000277010,354.0
78,ENSP00000001146,ENSP00000222982,920.0
79,ENSP00000001146,ENSP00000388510,550.0
80,ENSP00000001146,ENSP00000260682,736.0
81,ENSP00000001146,ENSP00000261507,365.0
82,ENSP00000001146,ENSP00000324648,929.0
83,ENSP00000001146,ENSP00000268129,528.0
84,ENSP00000001146,ENSP00000480439,465.0
85,ENSP00000001146,ENSP00000245479,438.0
86,ENSP00000001146,ENSP00000275764,875.0
87,ENSP00000001146,ENSP00000307607,312.0
88,ENSP00000001146,ENSP00000003084,433.0
89,ENSP00000001146,ENSP00000334276,653.0
90,ENSP00000001146,ENSP00000249750,978.0
91,ENSP00000001146,ENSP00000348944,302.0
92,ENSP00000001146,ENSP00000334128,316.0
93,ENSP00000001146,ENSP00000279263,335.0
94,ENSP00000001146,ENSP00000333212,329.0
95,ENSP00000001146,ENSP00000003100,324.0
96,ENSP00000001146,ENSP00000265605,318.0
97,ENSP00000001146,ENSP00000250863,555.0
98,ENSP00000001146,ENSP00000265403,653.0
99,ENSP00000001146,ENSP00000258168,325.0
100,ENSP00000001146,ENSP00000404438,351.0
101,ENSP00000001146,ENSP00000360522,315.0
102,ENSP00000001146,ENSP00000258098,483.0
103,ENSP00000001146,ENSP00000318867,334.0
104,ENSP00000001146,ENSP00000297477,330.0
105,ENSP00000001146,ENSP00000346768,653.0
106,ENSP00000001146,ENSP00000370750,487.0
107,ENSP00000001146,ENSP00000342007,921.0
108,ENSP00000001146,ENSP00000325819,385.0
109,ENSP00000001146,ENSP00000240285,612.0
110,ENSP00000001146,ENSP00000358903,602.0
111,ENSP00000001146,ENSP00000332256,730.0
112,ENSP00000001146,ENSP00000260113,322.0
113,ENSP00000001146,ENSP00000363832,908.0
114,ENSP00000001146,ENSP00000355140,407.0
115,ENSP00000001146,ENSP00000391121,361.0
116,ENSP00000001146,ENSP00000254029,326.0
117,ENSP00000001146,ENSP00000228606,348.0
118,ENSP00000001146,ENSP00000305221,653.0
119,ENSP00000001146,ENSP00000360644,450.0
120,ENSP00000001146,ENSP00000418532,653.0
121,ENSP00000001146,ENSP00000260970,483.0
122,ENSP00000001146,ENSP00000269703,335.0
123,ENSP00000001146,ENSP00000369050,929.0
124,ENSP00000001146,ENSP00000247706,539.0
125,ENSP00000001146,ENSP00000480571,922.0
126,ENSP00000001146,ENSP00000216862,303.0
127,ENSP00000001146,ENSP00000297785,958.0
128,ENSP00000001146,ENSP00000361667,380.0
129,ENSP00000001146,ENSP00000251566,653.0
130,ENSP00000001146,ENSP00000360317,748.0
131,ENSP00000001146,ENSP00000333836,326.0
132,ENSP00000001146,ENSP00000341021,905.0
133,ENSP00000001146,ENSP00000275525,375.0
134,ENSP00000001146,ENSP00000285979,741.0
135,ENSP00000001146,ENSP00000332296,613.0
136,ENSP00000001146,ENSP00000222145,313.0
137,ENSP00000001146,ENSP00000347717,335.0
138,ENSP00000001146,ENSP00000456609,621.0
139,ENSP00000001146,ENSP00000354888,309.0
140,ENSP00000001146,ENSP00000380837,428.0
141,ENSP00000001146,ENSP00000285949,813.0
142,ENSP00000001146,ENSP00000341625,330.0
143,ENSP00000001146,ENSP00000322181,369.0
144,ENSP00000001146,ENSP00000299529,956.0
145,ENSP00000001146,ENSP00000254066,565.0
146,ENSP00000001146,ENSP00000362549,653.0
147,ENSP00000001146,ENSP00000371790,540.0
148,ENSP00000001146,ENSP00000321797,315.0
149,ENSP00000001146,ENSP00000311095,925.0
150,ENSP00000001146,ENSP00000320401,653.0
151,ENSP00000001146,ENSP00000371858,351.0
152,ENSP00000001146,ENSP00000343838,653.0
153,ENSP00000001146,ENSP00000219368,425.0
154,ENSP00000001146,ENSP00000232217,422.0
155,ENSP00000001146,ENSP00000389414,300.0
156,ENSP00000425497,ENSP00000342007,729.0
157,ENSP00000425497,ENSP00000355995,709.0
158,ENSP00000425497,ENSP00000369050,746.0
159,ENSP00000425497,ENSP00000369814,683.0
160,ENSP00000425497,ENSP00000369927,675.0
161,ENSP00000425497,ENSP00000478561,736.0
162,ENSP00000422607,ENSP00000355995,356.0
163,ENSP00000422607,ENSP00000369050,301.0
164,ENSP00000370023,ENSP00000233627,301.0
165,ENSP00000370023,ENSP00000252711,321.0
166,ENSP00000370023,ENSP00000266544,365.0
167,ENSP00000370023,ENSP00000299166,445.0
168,ENSP00000370023,ENSP00000392709,311.0
169,ENSP00000304845,ENSP00000237014,591.0
170,ENSP00000304845,ENSP00000237612,658.0
171,ENSP00000304845,ENSP00000275493,413.0
172,ENSP00000304845,ENSP00000339720,360.0
173,ENSP00000304845,ENSP00000342007,905.0
174,ENSP00000304845,ENSP00000355995,719.0
175,ENSP00000304845,ENSP00000369050,908.0
176,ENSP00000304845,ENSP00000369814,719.0
177,ENSP00000304845,ENSP00000369927,682.0
178,ENSP00000304845,ENSP00000377411,360.0
179,ENSP00000304845,ENSP00000380252,442.0
180,ENSP00000304845,ENSP00000447149,586.0
181,ENSP00000304845,ENSP00000478255,683.0
182,ENSP00000304845,ENSP00000478561,864.0
183,ENSP00000389241,ENSP00000285930,473.0
184,ENSP00000389241,ENSP00000369814,805.0
185,ENSP00000389241,ENSP00000369927,761.0
186,ENSP00000290167,ENSP00000275493,493.0
187,ENSP00000290167,ENSP00000324806,514.0
188,ENSP00000290167,ENSP00000342385,459.0
189,ENSP00000290167,ENSP00000360266,333.0
190,ENSP00000290167,ENSP00000361405,322.0
191,ENSP00000334592,ENSP00000216862,946.0
192,ENSP00000334592,ENSP00000347717,865.0
193,ENSP00000478561,ENSP00000219070,491.0
194,ENSP00000478561,ENSP00000237612,423.0
195,ENSP00000478561,ENSP00000275493,325.0
196,ENSP00000478561,ENSP00000342007,827.0
197,ENSP00000478561,ENSP00000347717,311.0
198,ENSP00000478561,ENSP00000352584,304.0
199,ENSP00000478561,ENSP00000360266,311.0
200,ENSP00000478561,ENSP00000369050,935.0
201,ENSP00000478561,ENSP00000369814,301.0
202,ENSP00000478561,ENSP00000369816,412.0
203,ENSP00000478561,ENSP00000369822,376.0
204,ENSP00000478561,ENSP00000369927,933.0
205,ENSP00000478561,ENSP00000380252,364.0
206,ENSP00000478561,ENSP00000478255,461.0
207,ENSP00000478561,ENSP00000272298,645.0
208,ENSP00000478561,ENSP00000256593,756.0
209,ENSP00000478561,ENSP00000351407,656.0
210,ENSP00000478561,ENSP00000305742,901.0
211,ENSP00000478561,ENSP00000295256,850.0
212,ENSP00000478561,ENSP00000231509,319.0
213,ENSP00000478561,ENSP00000347684,505.0
214,ENSP00000478561,ENSP00000201586,338.0
215,ENSP00000478561,ENSP00000261978,656.0
216,ENSP00000478561,ENSP00000376889,306.0
217,ENSP00000478561,ENSP00000451812,309.0
218,ENSP00000478561,ENSP00000374265,354.0
219,ENSP00000478561,ENSP00000423067,702.0
220,ENSP00000478561,ENSP00000290765,770.0
221,ENSP00000478561,ENSP00000356864,662.0
222,ENSP00000478561,ENSP00000480514,416.0
223,ENSP00000478561,ENSP00000295897,318.0
224,ENSP00000478561,ENSP00000356191,373.0
225,ENSP00000478561,ENSP00000274000,321.0
226,ENSP00000478561,ENSP00000378992,408.0
227,ENSP00000478561,ENSP00000301645,346.0
228,ENSP00000478561,ENSP00000263341,312.0
229,ENSP00000478561,ENSP00000260385,370.0
230,ENSP00000478561,ENSP00000376886,309.0
231,ENSP00000478561,ENSP00000242057,943.0
232,ENSP00000478561,ENSP00000275016,528.0
233,ENSP00000478561,ENSP00000387683,717.0
234,ENSP00000478561,ENSP00000199936,935.0
235,ENSP00000478561,ENSP00000482639,687.0
236,ENSP00000478561,ENSP00000296839,459.0
237,ENSP00000478561,ENSP00000370254,451.0
238,ENSP00000478561,ENSP00000320604,309.0
239,ENSP00000478561,ENSP00000230053,330.0
240,ENSP00000478561,ENSP00000367202,455.0
241,ENSP00000478561,ENSP00000405330,673.0
242,ENSP00000478561,ENSP00000411821,669.0
243,ENSP00000478561,ENSP00000221130,310.0
244,ENSP00000478561,ENSP00000337915,455.0
245,ENSP00000478561,ENSP00000375809,347.0
246,ENSP00000478561,ENSP00000443194,367.0
247,ENSP00000478561,ENSP00000268053,332.0
248,ENSP00000478561,ENSP00000360958,396.0
249,ENSP00000478561,ENSP00000254521,933.0
250,ENSP00000478561,ENSP00000302216,349.0
251,ENSP00000478561,ENSP00000368022,641.0
252,ENSP00000478561,ENSP00000360002,763.0
253,ENSP00000478561,ENSP00000444788,331.0
254,ENSP00000478561,ENSP00000362525,791.0
255,ENSP00000478561,ENSP00000310721,332.0
256,ENSP00000478561,ENSP00000441269,307.0
257,ENSP00000478561,ENSP00000345774,462.0
258,ENSP00000478561,ENSP00000378972,622.0
259,ENSP00000478561,ENSP00000256594,836.0
260,ENSP00000478561,ENSP00000481732,421.0
261,ENSP00000478561,ENSP00000261835,322.0
262,ENSP00000478561,ENSP00000343002,493.0
263,ENSP00000478561,ENSP00000335620,851.0
264,ENSP00000478561,ENSP00000303174,885.0
265,ENSP00000478561,ENSP00000241052,346.0
266,ENSP00000478561,ENSP00000404100,407.0
267,ENSP00000478561,ENSP00000354394,474.0
268,ENSP00000478561,ENSP00000480004,972.0
269,ENSP00000478561,ENSP00000356205,507.0
270,ENSP00000478561,ENSP00000466799,954.0
271,ENSP00000478561,ENSP00000420612,571.0
272,ENSP00000478561,ENSP00000304169,624.0
273,ENSP00000478561,ENSP00000355751,523.0
274,ENSP00000478561,ENSP00000360968,307.0
275,ENSP00000478561,ENSP00000469455,348.0
276,ENSP00000478561,ENSP00000300057,390.0
277,ENSP00000478561,ENSP00000399805,570.0
278,ENSP00000478561,ENSP00000246080,386.0
279,ENSP00000478561,ENSP00000354511,970.0
280,ENSP00000478561,ENSP00000363708,300.0
281,ENSP00000478561,ENSP00000362513,773.0
282,ENSP00000478561,ENSP00000262887,309.0
283,ENSP00000478561,ENSP00000205214,334.0
284,ENSP00000478561,ENSP00000473990,479.0
285,ENSP00000478561,ENSP00000448998,331.0
286,ENSP00000478561,ENSP00000356959,466.0
287,ENSP00000478561,ENSP00000336528,535.0
288,ENSP00000478561,ENSP00000263321,315.0
289,ENSP00000478561,ENSP00000444986,379.0
290,ENSP00000478561,ENSP00000260653,349.0
291,ENSP00000478561,ENSP00000356438,678.0
292,ENSP00000478561,ENSP00000356331,463.0
293,ENSP00000478561,ENSP00000345702,388.0
294,ENSP00000478561,ENSP00000384588,314.0
295,ENSP00000478561,ENSP00000363794,909.0
296,ENSP00000478561,ENSP00000301873,486.0
297,ENSP00000478561,ENSP00000379683,426.0
298,ENSP00000478561,ENSP00000365651,462.0
299,ENSP00000478561,ENSP00000222382,369.0
300,ENSP00000478561,ENSP00000433138,450.0
301,ENSP00000478561,ENSP00000451406,943.0
302,ENSP00000478561,ENSP00000234195,329.0
303,ENSP00000478561,ENSP00000362508,790.0
