,node,cl,tr,eg,su,bn,clustering,eccentricity,degree
0,ENSP00000264498,4.156958643313324e-05,5708,0.0035615668155156805,1.128641385637192e+151,2.336920370603539e-05,0.010123764194935684,3,117
1,ENSP00000419087,4.156077926832655e-05,41289,0.051359547872487685,5.910783659208422e+151,0.001325812340642698,0.005094472663937913,2,549
2,ENSP00000263253,8.236567839892028e-05,62782,0.1868000943237867,2.049075432674745e+152,0.04686170904782376,0.00020510526277033668,3,5204
3,ENSP00000418842,4.2418554722361923e-05,42986,0.05711788745883537,6.415846739909959e+151,1.0216441740025826e-07,0.004663992696884774,2,596
4,ENSP00000373620,6.926563002621384e-05,98891,0.153142622647078,2.1307272633201406e+152,0.001877081435811716,0.0007805898941844355,2,2735
5,ENSP00000428489,4.9563587759990004e-05,100123,0.07944440944778555,1.554821927863721e+152,8.75695006287928e-08,0.002896850674921593,2,1155
6,ENSP00000384273,7.810103936557501e-05,70621,0.1073245383728751,2.0608476362285894e+152,0.11651314711562252,0.0003769887329041644,3,3321
7,ENSP00000362014,6.800855202201552e-05,114914,0.11834019288303245,2.367427563292911e+152,0.01582509311629872,0.0009529097395475789,3,2426
8,ENSP00000330737,4.1368644471507696e-05,40677,0.05267076209559578,5.813062673760286e+151,0.0,0.005249697186402846,2,543
9,ENSP00000441126,3.8475023168094484e-05,31548,0.04457924191178782,4.190224587891346e+151,2.3789714337488716e-05,0.007150209023846494,2,415
10,ENSP00000363512,4.425210702280671e-05,69852,0.05783483042290755,9.310450834395318e+151,1.2065131197744785e-06,0.004754325574896692,3,732
11,ENSP00000418438,3.865805551241666e-05,31956,0.04330825200322953,4.233133528290436e+151,0.002428604395351022,0.0070303450292692644,2,417
12,ENSP00000362060,4.776449553338785e-05,58712,0.06723366477584213,9.617906149161072e+151,0.0007407445177409472,0.002960401258619434,2,861
13,ENSP00000389160,4.434306570418323e-05,47589,0.058039181859903935,7.219348547537038e+151,0.00010668771392900538,0.004127763875914511,2,656
14,ENSP00000306124,4.708512181762267e-05,84781,0.07329518116034793,1.2167333679913903e+152,0.0,0.003984870190403318,3,923
15,ENSP00000360683,5.172286016769741e-05,91045,0.07901398207275859,1.4534810885969693e+152,3.81219226070678e-05,0.0025546659346028697,3,1202
16,ENSP00000299166,4.767626473156552e-05,55903,0.06574639069152781,9.205445324990647e+151,2.688383669303939e-05,0.00293086168408236,2,844
17,ENSP00000430432,7.279530049439248e-05,81819,0.13109790338358826,2.2158742640754584e+152,0.0017202444601855476,0.0004901455998492145,3,3267
18,ENSP00000362873,4.250688039688917e-05,42602,0.056689215490549824,6.264095221707498e+151,2.3351866834344746e-07,0.004877383083680229,2,582
19,ENSP00000379098,5.553875385622146e-05,107629,0.08914776389974542,1.8312678125779752e+152,0.02218440348296555,0.001977302763542744,3,1492
