,node,degree,cl,tr,eg,su,bn,clustering,eccentricity
0,ENSP00000001146,156,0.0008807990872868365,266,0.0004881748410027154,7.412859096639815e+37,0.006748507727508878,0.013476971654296666,4
1,ENSP00000425497,7,0.0006165392813194414,14,0.00010492529890681732,2.8396747676675117e+36,0.0,0.4870178742142338,5
2,ENSP00000422607,3,0.0007956445601074657,2,2.2144774564097242e-05,6.659450968306987e+35,0.0,0.3200206799991991,5
3,ENSP00000370023,6,0.0007661234021533197,10,0.003179564716354125,2.304746577411032e+37,0.00018039343408793866,0.3286344026070269,5
4,ENSP00000304845,15,0.0008279846936888668,37,0.0011476287880833641,9.913314816565446e+37,1.1975421305150004e-05,0.2291422973990776,4
5,ENSP00000389241,4,0.0006874818271887182,2,5.304952116605653e-05,7.108598899859017e+35,0.0,0.2534368372470483,5
6,ENSP00000370648,1,0.0006909385810516584,0,2.1307256718211542e-06,7.797723633745774e+33,0.0,0.0,5
7,ENSP00000290167,6,0.0008758727192703624,8,0.0003677599552211378,1.1481069486256544e+38,9.719515883114665e-05,0.2497668819192795,4
8,ENSP00000334592,3,0.0006909385810516584,3,3.618637762978533e-05,1.603209826380654e+35,0.0,0.5804935386695415,5
9,ENSP00000478561,237,0.001014522029941867,853,0.002087160821333123,1.4416783432333454e+39,0.009918007213311555,0.016882444782641937,4
10,ENSP00000449079,4,0.0007617726241635956,1,8.122765979045163e-05,5.0800881868472585e+35,0.00010120555409166059,0.08560263582332706,4
11,ENSP00000250124,1,0.0006335948291721912,0,3.0253572840281134e-06,7.797723633745773e+33,0.0,0.0,5
12,ENSP00000350314,2,0.000691102149259601,0,1.0792512986860313e-05,1.010538542592878e+35,0.0,0.0,5
13,ENSP00000339883,7,0.0008189179480861536,1,0.0008800360677203088,2.3252646547980113e+37,1.626928598732253e-05,0.019556355544871257,4
14,ENSP00000348380,4,0.0007518622840381043,5,4.528217838976852e-05,9.169753721237909e+35,0.0,0.3775825516183406,5
15,ENSP00000363817,10,0.0007456519458820285,23,0.0006837440019327442,8.914332887659087e+37,0.0,0.3896680133738984,4
16,ENSP00000275016,5,0.0007677814839284131,4,6.203478890358941e-05,3.096295405168044e+36,0.0,0.18839672265591234,4
17,ENSP00000387683,7,0.0006160550065424342,14,0.0001069078798741488,2.8396747676675117e+36,0.0,0.4914921616577701,5
18,ENSP00000272427,1,0.0005772729314418753,0,4.077061622042399e-06,7.797723633745774e+33,0.0,0.0,5
19,ENSP00000403042,3,0.0007021047668329881,1,1.4204761226942334e-05,4.7034583894760415e+34,5.485830365048343e-05,0.14021062115964095,5
20,ENSP00000320604,3,0.0007800060066583782,3,1.9040324350943372e-05,3.8087323787141385e+35,0.0,0.3939012351869503,5
21,ENSP00000371711,1,0.000602667788614248,0,3.5785264488278357e-06,7.797723633745773e+33,0.0,0.0,5
22,ENSP00000256319,5,0.0007454175614104461,4,0.0006439281021454243,1.7764406201465813e+36,8.349336227769892e-05,0.2043376984670989,5
23,ENSP00000482546,2,0.0008011709483294235,0,3.562608464831617e-05,1.930259447008629e+36,0.0,0.0,4
24,ENSP00000337915,21,0.0008387908778375807,55,0.0005592324544447214,1.3367203328601056e+38,0.0,0.162959121808069,4
25,ENSP00000268053,11,0.0008186872857208375,19,0.00011895112052999529,1.0093510898064328e+37,8.190407470053117e-05,0.16618581150088213,4
26,ENSP00000221496,7,0.0008437514946862605,5,0.0003387669590192534,7.306568963534329e+37,1.0532515478510859e-05,0.11531060385094967,4
27,ENSP00000254521,10,0.0008156765709605247,16,0.0009169441370379377,3.553256127965159e+37,3.799652010149748e-05,0.2145147858655308,4
28,ENSP00000361302,1,0.0006876131694282753,0,2.178530414458167e-06,7.797723633745769e+33,0.0,0.0,5
29,ENSP00000293502,1,0.0006175537355014979,0,3.305356490902046e-06,7.797723633745773e+33,0.0,0.0,5
30,ENSP00000362525,10,0.0007855313236025734,18,0.00020100104160247382,1.337693629911776e+37,0.0,0.2837682338958826,4
31,ENSP00000310721,9,0.0008031413837942322,12,0.00012269885891213838,8.77005428320865e+36,0.0,0.1521471715283015,4
