,source,target,weight
2211,ENSP00000254066,ENSP00000441691,395
2212,ENSP00000254066,ENSP00000327801,350
2223,ENSP00000254066,ENSP00000221930,315
2229,ENSP00000254066,ENSP00000479667,320
2232,ENSP00000254066,ENSP00000356840,510
2233,ENSP00000254066,ENSP00000364912,342
2234,ENSP00000254066,ENSP00000292614,900
2237,ENSP00000254066,ENSP00000419425,311
2241,ENSP00000254066,ENSP00000474412,355
2244,ENSP00000254066,ENSP00000384048,900
2249,ENSP00000254066,ENSP00000265372,309
2256,ENSP00000254066,ENSP00000301645,348
2258,ENSP00000254066,ENSP00000312379,440
2259,ENSP00000254066,ENSP00000369695,558
2262,ENSP00000254066,ENSP00000362824,321
2266,ENSP00000254066,ENSP00000363668,340
2273,ENSP00000254066,ENSP00000405890,947
2274,ENSP00000254066,ENSP00000337976,373
2276,ENSP00000254066,ENSP00000209875,491
2280,ENSP00000254066,ENSP00000477707,413
2282,ENSP00000254066,ENSP00000256443,943
2283,ENSP00000254066,ENSP00000399888,305
2285,ENSP00000254066,ENSP00000396704,453
2286,ENSP00000254066,ENSP00000316578,940
2299,ENSP00000254066,ENSP00000415536,901
2311,ENSP00000254066,ENSP00000262965,350
2313,ENSP00000254066,ENSP00000466090,309
2328,ENSP00000254066,ENSP00000386759,303
2332,ENSP00000254066,ENSP00000380093,302
2334,ENSP00000254066,ENSP00000241453,671
2336,ENSP00000254066,ENSP00000478303,900
2340,ENSP00000254066,ENSP00000338157,954
2341,ENSP00000254066,ENSP00000352400,426
2344,ENSP00000254066,ENSP00000393312,314
2345,ENSP00000254066,ENSP00000225831,359
2350,ENSP00000254066,ENSP00000412302,313
2351,ENSP00000254066,ENSP00000232165,376
2352,ENSP00000254066,ENSP00000376272,375
2358,ENSP00000254066,ENSP00000370625,900
2360,ENSP00000254066,ENSP00000309591,905
2362,ENSP00000254066,ENSP00000253024,300
2367,ENSP00000254066,ENSP00000299259,409
2371,ENSP00000254066,ENSP00000358548,377
2375,ENSP00000254066,ENSP00000383402,359
2377,ENSP00000254066,ENSP00000308741,673
2378,ENSP00000254066,ENSP00000384517,635
2380,ENSP00000254066,ENSP00000400142,576
2382,ENSP00000254066,ENSP00000382688,400
2392,ENSP00000254066,ENSP00000297109,587
2393,ENSP00000254066,ENSP00000291527,567
2401,ENSP00000254066,ENSP00000264515,904
2404,ENSP00000254066,ENSP00000370896,598
2405,ENSP00000254066,ENSP00000301788,900
2418,ENSP00000254066,ENSP00000247970,394
2423,ENSP00000254066,ENSP00000296504,550
2428,ENSP00000254066,ENSP00000380414,473
2432,ENSP00000254066,ENSP00000264674,354
2440,ENSP00000254066,ENSP00000417207,915
2441,ENSP00000254066,ENSP00000379658,523
2442,ENSP00000254066,ENSP00000350333,366
2444,ENSP00000254066,ENSP00000324124,900
2450,ENSP00000254066,ENSP00000272645,900
2454,ENSP00000254066,ENSP00000325690,935
2456,ENSP00000254066,ENSP00000294339,340
2463,ENSP00000254066,ENSP00000287239,382
2467,ENSP00000254066,ENSP00000231449,301
2475,ENSP00000254066,ENSP00000264867,466
2488,ENSP00000254066,ENSP00000340896,908
2489,ENSP00000254066,ENSP00000351015,359
2491,ENSP00000254066,ENSP00000305918,316
2497,ENSP00000254066,ENSP00000164227,378
2500,ENSP00000254066,ENSP00000221859,900
2501,ENSP00000254066,ENSP00000402527,350
2520,ENSP00000254066,ENSP00000403852,900
2526,ENSP00000254066,ENSP00000342889,900
2533,ENSP00000254066,ENSP00000313420,474
2534,ENSP00000254066,ENSP00000310036,509
2542,ENSP00000254066,ENSP00000227163,910
2544,ENSP00000254066,ENSP00000370256,556
2549,ENSP00000254066,ENSP00000395929,534
2550,ENSP00000254066,ENSP00000350676,489
2551,ENSP00000254066,ENSP00000379904,940
2552,ENSP00000254066,ENSP00000363929,951
2553,ENSP00000254066,ENSP00000340507,713
2557,ENSP00000254066,ENSP00000338283,606
2572,ENSP00000254066,ENSP00000261245,917
2573,ENSP00000254066,ENSP00000404658,383
2574,ENSP00000254066,ENSP00000261531,447
2580,ENSP00000254066,ENSP00000376611,474
2584,ENSP00000254066,ENSP00000232217,383
5094,ENSP00000360266,ENSP00000310928,303
5096,ENSP00000360266,ENSP00000418915,546
5097,ENSP00000360266,ENSP00000327801,323
5098,ENSP00000360266,ENSP00000377969,939
5099,ENSP00000360266,ENSP00000345571,368
5100,ENSP00000360266,ENSP00000243924,587
5102,ENSP00000360266,ENSP00000351407,950
5103,ENSP00000360266,ENSP00000429089,322
5104,ENSP00000360266,ENSP00000363680,323
5106,ENSP00000360266,ENSP00000261464,430
5107,ENSP00000360266,ENSP00000261349,322
5108,ENSP00000360266,ENSP00000379138,308
5109,ENSP00000360266,ENSP00000281708,744
5110,ENSP00000360266,ENSP00000383063,697
5111,ENSP00000360266,ENSP00000431512,324
5112,ENSP00000360266,ENSP00000410452,327
5113,ENSP00000360266,ENSP00000252818,925
5114,ENSP00000360266,ENSP00000327048,775
5115,ENSP00000360266,ENSP00000360493,650
5117,ENSP00000360266,ENSP00000484261,902
5121,ENSP00000360266,ENSP00000350052,433
5122,ENSP00000360266,ENSP00000219252,914
5123,ENSP00000360266,ENSP00000231509,985
